split,threshold,TP,FP,TN,FN,accuracy,precision,recall,specificity,FPR,F1,F2,ROC_AUC,PR_AP
test,0.10088636257051656,265,709,1442,10,0.703627,0.272074,0.963636,0.670386,0.329614,0.424339,0.638862,0.933173,0.695436
test,0.09863699104046525,265,717,1434,10,0.70033,0.269857,0.963636,0.666667,0.333333,0.421639,0.636407,0.933173,0.695436
test,0.09668921395263674,265,725,1426,10,0.697032,0.267677,0.963636,0.662947,0.337053,0.418972,0.633971,0.933173,0.695436
test,0.09513900884756253,265,733,1418,10,0.693735,0.265531,0.963636,0.659228,0.340772,0.416339,0.631554,0.933173,0.695436
test,0.09292929176130993,266,740,1411,9,0.691261,0.264414,0.967273,0.655974,0.344026,0.415301,0.631529,0.933173,0.695436
test,0.09178552008443763,266,748,1403,9,0.687964,0.262327,0.967273,0.652255,0.347745,0.412723,0.629139,0.933173,0.695436
test,0.9566223757020337,75,15,2136,200,0.911377,0.833333,0.272727,0.993026,0.006974,0.410959,0.315126,0.933173,0.695436
test,0.09023938680663961,266,756,1395,9,0.684666,0.260274,0.967273,0.648536,0.351464,0.410177,0.626767,0.933173,0.695436
test,0.08855007540075448,266,765,1386,9,0.680956,0.258002,0.967273,0.644351,0.355649,0.407351,0.62412,0.933173,0.695436
test,0.08735548248922746,266,773,1378,9,0.677659,0.256015,0.967273,0.640632,0.359368,0.404871,0.621786,0.933173,0.695436
test,0.086320645920216,266,781,1370,9,0.674361,0.254059,0.967273,0.636913,0.363087,0.402421,0.619469,0.933173,0.695436
test,0.0854137957105638,266,789,1362,9,0.671063,0.252133,0.967273,0.633194,0.366806,0.4,0.617169,0.933173,0.695436
test,0.0842219884946535,266,797,1354,9,0.667766,0.250235,0.967273,0.629475,0.370525,0.397608,0.614887,0.933173,0.695436
test,0.08308960272954567,266,805,1346,9,0.664468,0.248366,0.967273,0.625755,0.374245,0.395245,0.612621,0.933173,0.695436
test,0.08220831681186427,267,812,1339,8,0.661995,0.247451,0.970909,0.622501,0.377499,0.394387,0.612666,0.933173,0.695436
test,0.08148021295710783,267,820,1331,8,0.658697,0.24563,0.970909,0.618782,0.381218,0.39207,0.610425,0.933173,0.695436
test,0.08079867001227843,268,827,1324,7,0.656224,0.244749,0.974545,0.615528,0.384472,0.391241,0.610478,0.933173,0.695436
test,0.07941176841345081,268,836,1315,7,0.652514,0.242754,0.974545,0.611344,0.388656,0.388687,0.607985,0.933173,0.695436
test,0.07872566382360154,268,844,1307,7,0.649217,0.241007,0.974545,0.607624,0.392376,0.386446,0.605787,0.933173,0.695436
test,0.07781569890205048,268,852,1299,7,0.645919,0.239286,0.974545,0.603905,0.396095,0.384229,0.603604,0.933173,0.695436
test,0.07718362414980309,268,860,1291,7,0.642622,0.237589,0.974545,0.600186,0.399814,0.382038,0.601436,0.933173,0.695436
test,0.9626990489921127,68,14,2137,207,0.908904,0.829268,0.247273,0.993491,0.006509,0.380952,0.287648,0.933173,0.695436
test,0.0764590517044651,268,868,1283,7,0.639324,0.235915,0.974545,0.596467,0.403533,0.379872,0.599284,0.933173,0.695436
test,0.07584365687585344,268,876,1275,7,0.636026,0.234266,0.974545,0.592748,0.407252,0.377731,0.597148,0.933173,0.695436
test,0.0751695281329499,268,884,1267,7,0.632729,0.232639,0.974545,0.589028,0.410972,0.375613,0.595027,0.933173,0.695436
test,0.07467631417968988,268,892,1259,7,0.629431,0.231034,0.974545,0.585309,0.414691,0.373519,0.59292,0.933173,0.695436
test,0.07403149963723621,268,900,1251,7,0.626134,0.229452,0.974545,0.58159,0.41841,0.371448,0.590829,0.933173,0.695436
test,0.07320183469499111,268,909,1242,7,0.622424,0.227698,0.974545,0.577406,0.422594,0.369146,0.588494,0.933173,0.695436
test,0.07260524195391403,268,917,1234,7,0.619126,0.22616,0.974545,0.573687,0.426313,0.367123,0.586433,0.933173,0.695436
test,0.0717998052934453,268,925,1226,7,0.615829,0.224644,0.974545,0.569967,0.430033,0.365123,0.584387,0.933173,0.695436
test,0.07087640785821114,268,933,1218,7,0.612531,0.223147,0.974545,0.566248,0.433752,0.363144,0.582355,0.933173,0.695436
test,0.07042402812423257,268,941,1210,7,0.609233,0.221671,0.974545,0.562529,0.437471,0.361186,0.580338,0.933173,0.695436
test,0.06996593001425506,268,949,1202,7,0.605936,0.220214,0.974545,0.55881,0.44119,0.359249,0.578334,0.933173,0.695436
