technique,technique_label,threshold,TP,FP,FN,IGNORED,GT,detections,precision,recall,sensitivity,F1,F2,fp_per_image
nms,NMS,0.13718116791002558,236,556,14,38,250,830,0.29797979797979796,0.944,0.944,0.4529750479846449,0.6584821428571428,2.3070539419087135
nms,NMS,0.13499175889661594,236,559,14,38,250,833,0.2968553459119497,0.944,0.944,0.4516746411483254,0.6573816155988859,2.319502074688797
nms,NMS,0.13199126417409374,236,562,14,39,250,837,0.2957393483709273,0.944,0.944,0.4503816793893129,0.6562847608453838,2.33195020746888
nms,NMS,0.12979198655171062,236,566,14,39,250,841,0.2942643391521197,0.944,0.944,0.44866920152091255,0.6548279689234184,2.3485477178423237
nms,NMS,0.12938119331093312,236,569,14,40,250,845,0.29316770186335406,0.944,0.944,0.44739336492891,0.6537396121883656,2.3609958506224067
nms,NMS,0.12720602616369794,236,573,14,40,250,849,0.29171817058096416,0.944,0.944,0.4457034938621341,0.6522940851299059,2.3775933609958506
nms,NMS,0.12661143611561504,236,577,14,40,250,853,0.2902829028290283,0.944,0.944,0.44402634054562556,0.6508549365692222,2.3941908713692945
nms,NMS,0.1242328260688179,236,580,14,40,250,856,0.28921568627450983,0.944,0.944,0.44277673545966234,0.6497797356828193,2.4066390041493775
nms,NMS,0.12211976894837664,236,584,14,40,250,860,0.28780487804878047,0.944,0.944,0.4411214953271027,0.6483516483516483,2.4232365145228214
nms,NMS,0.12100543909144133,236,587,14,40,250,863,0.2867557715674362,0.944,0.944,0.43988816402609504,0.6472846955567745,2.4356846473029043
nms,NMS,0.12005739034311137,236,590,14,40,250,866,0.2857142857142857,0.944,0.944,0.43866171003717475,0.6462212486308871,2.4481327800829877
nms,NMS,0.11827385519521827,236,594,14,40,250,870,0.28433734939759037,0.944,0.944,0.43703703703703706,0.6448087431693988,2.4647302904564317
nms,NMS,0.11621491077936448,236,598,14,40,250,874,0.2829736211031175,0.944,0.944,0.4354243542435424,0.6434023991275899,2.4813278008298756
nms,NMS,0.11552853255621211,236,602,14,40,250,878,0.28162291169451076,0.944,0.944,0.4338235294117647,0.6420021762785636,2.4979253112033195
nms,NMS,0.11405554942037177,236,606,14,40,250,882,0.28028503562945367,0.944,0.944,0.4322344322344322,0.6406080347448425,2.5145228215767634
nms,NMS,0.11289296205574267,236,609,14,40,250,885,0.27928994082840236,0.944,0.944,0.43105022831050227,0.6395663956639566,2.5269709543568464
nms,NMS,0.11024461527450265,236,614,14,40,250,890,0.2776470588235294,0.944,0.944,0.42909090909090913,0.6378378378378379,2.5477178423236513
nms,NMS,0.10969871698113241,236,617,14,40,250,893,0.27667057444314186,0.944,0.944,0.42792384406164996,0.6368051807879115,2.5601659751037342
nms,NMS,0.10858969814502056,237,620,13,40,250,897,0.2765460910151692,0.948,0.948,0.4281842818428185,0.6381260096930532,2.5726141078838176
